EmployeeID,FullName,Gender,Age,DateOfBirth,DateOfJoining,Department,JobRole,EmploymentType,EmployeeStatus,ManagerID,ManagerName,EducationLevel,MaritalStatus,Location,Country,WorkShift,ExperienceInCurrentRole (Years),TotalExperience (Years),PreviousCompany,PreviousJobRole,Salary,HourlyRate,Bonus,OverTime,PromotionLast5Years,TrainingHours,LeaveBalance,SickLeavesTaken,PerformanceRating,LastAppraisalDate,JobSatisfaction,Attrition,ExitDate,ExitReason,EngagementScore,RemoteWork,WorkFromHomeDays,DisciplinaryAction,DiversityCategory,Certifications,Skills,RecruitmentSource,CostToCompany (CTC),RetentionRiskScore
74,Michael Sampson DDS,Female,38,21-06-1979,13-10-2017,Operations,Accountant,Full-time,Active,4,Melanie King,Bachelor's,Divorced,Port Darrylfort,India,Rotational,3,19,"Goodman, Brown and Blackwell",Data Analyst,74124,463.27,26986,No,No,29,3,10,4,01-12-2024,3,No,,,67,No,4,No,LGBTQ+,1,"less, grow, huge",Job Portal,247239,0.27
75,Jamie Alexander,Female,53,12-08-1974,14-07-2020,IT,Marketing Specialist,Intern,Resigned,7,Paul Wood,PhD,Single,South Davidfort,India,Day,4,16,Armstrong-Shaw,HR Manager,43017,268.86,21949,No,Yes,55,0,3,3,17-07-2024,3,Yes,05-08-2023,Relocation,96,No,9,Yes,None,3,"billion, open, list",Referral,240319,0.7
76,William Nichols,Other,51,14-12-1993,09-03-2022,IT,Marketing Specialist,Intern,Active,9,Zoe Kirby,Master's,Married,Lake Kimberly,India,Day,4,10,"Davis, Williams and Cooper",Accountant,58829,367.68,37035,Yes,No,46,17,6,4,05-09-2024,3,No,,,83,No,19,No,PwD,2,"from, feeling, appear",Campus,125306,0.66
77,David Rios,Male,29,03-12-1965,16-07-2015,IT,Data Analyst,Intern,Active,4,Wayne Anderson,Diploma,Divorced,West Michael,India,Night,8,12,Anderson and Sons,Operations Coordinator,56812,355.07,47884,Yes,Yes,77,30,2,1,20-11-2024,2,No,,,65,No,13,Yes,LGBTQ+,1,"large, nearly, able",Campus,207499,0.51
78,Patricia Mann,Female,29,15-05-1965,20-02-2019,HR,Marketing Specialist,Intern,Active,9,Eric Johnson,Diploma,Single,East Nancy,India,Night,8,4,"Hernandez, Keith and Cruz",Data Analyst,115932,724.58,23504,Yes,Yes,52,12,9,4,02-10-2024,3,No,,,70,Yes,13,Yes,Women,1,"direction, other, health",Campus,237656,0.34
79,Sandra Fuentes,Female,41,08-06-1982,11-11-2018,Finance,Operations Coordinator,Intern,Active,10,Justin Wells,Master's,Married,North Gabrielle,India,Rotational,7,4,"Vargas, Jensen and Thompson",HR Manager,77339,483.37,38721,No,No,23,8,0,3,05-02-2025,2,No,,,89,No,3,Yes,Veteran,2,"world, ago, now",Referral,227552,0.62
80,Amy Powell DVM,Male,43,30-10-1971,25-05-2020,Sales,Sales Executive,Full-time,Resigned,4,Johnathan Pratt,Master's,Divorced,West Danielmouth,India,Night,6,2,"Peterson, Higgins and Griffin",Accountant,115823,723.89,20767,No,Yes,29,0,2,3,26-08-2024,1,Yes,07-02-2025,Layoff,97,No,7,Yes,LGBTQ+,4,"least, much, college",Agency,276298,0.69
81,Benjamin Henry,Other,30,21-06-1972,27-02-2023,Operations,Marketing Specialist,Full-time,Active,2,Kim Yang,Diploma,Single,Kathleenport,India,Rotational,4,17,Wiggins-Lambert,Accountant,58317,364.48,26739,Yes,Yes,79,29,5,2,17-05-2025,1,No,,,91,Yes,0,Yes,Veteran,1,"employee, job, once",Campus,147608,0.59
82,Adam Bell,Other,41,06-07-1966,13-06-2020,IT,Data Analyst,Intern,Active,2,Katelyn Green,Diploma,Married,North Nicholeberg,India,Rotational,4,8,Smith and Sons,Accountant,62864,392.9,13756,Yes,No,23,16,5,1,25-03-2025,1,No,,,95,No,20,No,None,0,"movement, model, bring",Campus,213724,0.74
83,Victor Gray,Male,27,10-10-1965,10-03-2017,Marketing,Accountant,Part-time,Active,3,Christina Mann,Diploma,Divorced,Danaville,India,Night,9,7,"Smith, Harris and Landry",Data Analyst,100487,628.04,48735,Yes,Yes,93,14,9,4,24-04-2025,5,No,,,78,Yes,7,No,LGBTQ+,4,"white, far, worry",Job Portal,195625,0.4
84,Michael Miller,Female,32,30-12-1968,13-05-2024,Sales,Data Analyst,Intern,Active,7,Angel Gonzalez,Bachelor's,Single,New Kimberlymouth,India,Night,3,7,Vaughn-Romero,HR Manager,36310,226.94,39064,No,No,68,7,9,2,14-05-2025,4,No,,,69,No,17,No,Veteran,1,"authority, house, project",Job Portal,188103,0.18
85,Linda Alexander,Male,27,28-06-1978,06-02-2017,Operations,Marketing Specialist,Part-time,Resigned,10,Yesenia Herrera,Master's,Single,Sanchezshire,India,Night,5,11,Miller Inc,Operations Coordinator,106238,663.99,19477,Yes,Yes,76,13,8,4,20-12-2024,2,Yes,12-04-2024,Relocation,88,Yes,0,Yes,Veteran,4,"prepare, future, theory",Referral,156270,0.14
86,Angela Young,Other,54,17-09-1965,16-10-2015,Sales,Accountant,Intern,Active,10,Makayla Gardner,Master's,Married,West Brandon,India,Day,6,18,Morgan-Estrada,Marketing Specialist,106763,667.27,34607,Yes,No,45,26,3,1,27-01-2025,4,No,,,67,Yes,11,No,LGBTQ+,4,"number, national, room",Referral,265852,0.37
87,Alexander Cherry,Male,34,27-07-1966,28-06-2020,Marketing,Marketing Specialist,Intern,Terminated,3,Tina Ramsey,PhD,Single,Anitafurt,India,Night,0,11,Harper-Parks,Sales Executive,88466,552.91,26635,Yes,No,76,16,9,5,14-06-2024,1,Yes,23-06-2024,Layoff,85,No,17,Yes,LGBTQ+,1,"lawyer, station, save",Agency,216939,0.75
88,Barbara Harris,Male,38,12-07-2002,28-09-2017,HR,Operations Coordinator,Contract,Terminated,5,Shelley James,Master's,Divorced,Armstrongchester,India,Night,5,6,Ibarra Inc,Sales Executive,58507,365.67,46505,Yes,Yes,21,30,9,5,05-04-2025,4,Yes,02-01-2024,Personal reasons,74,No,18,Yes,None,1,"language, decide, entire",Job Portal,236559,0.72
89,Kevin Santiago,Female,42,22-11-1995,19-07-2019,Operations,Operations Coordinator,Part-time,Resigned,8,Terry Curtis,PhD,Divorced,South Roy,India,Rotational,6,2,"Rangel, Wade and Diaz",Accountant,62698,391.86,46743,No,No,81,18,0,5,21-05-2024,3,Yes,24-11-2024,Better opportunity,90,Yes,11,Yes,LGBTQ+,5,"week, wait, authority",Job Portal,176978,0.4
90,Andrew Sutton,Female,32,19-03-2001,27-12-2023,Finance,HR Manager,Full-time,Active,3,Yvonne Hull,Diploma,Married,Lake Tonya,India,Rotational,5,13,"Robinson, Gregory and Clark",Operations Coordinator,117351,733.44,14637,No,No,99,2,0,1,16-03-2025,1,No,,,81,No,10,No,Women,3,"glass, down, figure",Job Portal,208201,0.65
91,Brittney Munoz,Male,59,28-01-1995,19-03-2023,Sales,HR Manager,Contract,Resigned,8,Alexander Maddox,Master's,Single,West Timothy,India,Night,5,4,Hutchinson-Frazier,HR Manager,89917,561.98,21005,No,No,78,13,2,5,20-11-2024,4,Yes,26-11-2024,Layoff,83,Yes,12,No,LGBTQ+,3,"prevent, dinner, foreign",Job Portal,205141,0.56
92,Lisa Vargas,Male,55,26-05-1992,15-03-2022,Sales,Operations Coordinator,Part-time,Retired,8,Christopher Palmer,Bachelor's,Married,East Brandon,India,Night,1,5,Taylor LLC,Data Analyst,117812,736.33,19277,No,No,59,25,9,2,07-08-2024,3,Yes,06-09-2024,Relocation,72,No,14,No,PwD,1,"significant, level, anyone",Agency,294252,0.18
93,Michael Clark,Female,53,05-05-1996,04-01-2016,HR,Marketing Specialist,Part-time,Active,3,Samuel Rodriguez,Master's,Married,Timothyside,India,Rotational,6,4,Johnson-Gray,Operations Coordinator,39898,249.36,34182,Yes,Yes,7,16,9,1,05-02-2025,2,No,,,88,No,17,Yes,Veteran,1,"security, theory, later",Campus,117372,0.2
94,Kevin Turner,Male,40,16-10-1970,31-07-2016,IT,Accountant,Intern,Active,1,Melissa Barry,PhD,Married,Lake Ruthview,India,Rotational,7,10,Owen and Sons,Operations Coordinator,51359,320.99,44530,No,No,89,26,8,2,17-09-2024,2,No,,,91,No,2,No,PwD,5,"section, from, carry",Agency,148916,0.57
95,Lisa Hardin,Male,30,10-06-1993,25-12-2023,Marketing,Accountant,Part-time,Resigned,6,Julia Simpson,Master's,Single,New Jasmineshire,India,Day,7,16,Morris-Shaffer,Operations Coordinator,100926,630.79,10759,No,No,12,15,3,4,15-01-2025,5,Yes,01-10-2023,Better opportunity,89,No,12,Yes,None,0,"hear, piece, ahead",Job Portal,202976,0.29
96,Virginia Choi,Female,33,23-01-2001,12-04-2023,Marketing,Accountant,Contract,Resigned,8,Rebecca Anderson,PhD,Divorced,East Felicia,India,Rotational,6,4,Salinas-Lee,HR Manager,80977,506.11,25805,Yes,No,32,29,6,2,06-10-2024,2,Yes,18-02-2024,Personal reasons,92,Yes,13,No,None,2,"hear, very, firm",Referral,247491,0.18
97,Joshua Oliver,Other,24,20-04-1991,27-04-2022,Sales,Accountant,Contract,Terminated,1,Alyssa Hall,PhD,Divorced,Brittneyfurt,India,Night,0,15,Mills Group,HR Manager,81092,506.82,45006,No,Yes,26,25,2,1,01-10-2024,1,Yes,21-08-2023,Relocation,97,Yes,20,No,LGBTQ+,4,"food, many, suddenly",Campus,240203,0.79
98,Thomas Smith,Other,38,29-11-1972,10-12-2018,Finance,Data Analyst,Full-time,Resigned,5,Shannon Phillips,Diploma,Divorced,East Stephenland,India,Rotational,6,10,"Bowen, Miller and Clark",HR Manager,77336,483.35,37237,Yes,Yes,7,17,9,5,29-09-2024,5,Yes,21-04-2024,Layoff,58,Yes,16,Yes,LGBTQ+,3,"many, prepare, probably",Agency,178947,0.6
99,Jennifer Taylor,Male,39,07-04-1973,16-05-2019,Sales,Operations Coordinator,Full-time,Terminated,5,Alex Reyes,Master's,Single,South Randallborough,India,Day,4,15,White Ltd,HR Manager,32541,203.38,29194,No,Yes,21,10,4,5,02-09-2024,5,Yes,19-12-2024,Better opportunity,50,No,3,No,Veteran,1,"bad, though, chair",Job Portal,124424,0.13
100,Charles Jones,Other,31,21-08-1997,16-03-2022,Finance,Marketing Specialist,Contract,Active,7,Elizabeth Scott,PhD,Divorced,Marcland,India,Day,7,17,Perez-Johnson,Sales Executive,108266,676.66,36711,No,Yes,99,25,7,4,29-04-2025,2,No,,,54,No,17,No,Women,2,"local, success, name",Job Portal,166031,0.19
